time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1972-05-08T19:06:10.950Z,47.584,-122.2033333,19.313,2.5,md,7,97,0.04253,0.11,uw,uw10853093,2016-07-24T23:54:03.480Z,"0 km WSW of Beaux Arts Village, Washington",earthquake,0.028,0.04,0.06,5,reviewed,uw,uw
1972-04-29T11:42:31.230Z,47.6268333,-122.4326667,23.334,3,md,8,80,,0.11,uw,uw10853053,2016-07-24T23:53:56.160Z,"6 km E of Bainbridge Island, Washington",earthquake,0.389,0.93,0.07,5,reviewed,uw,uw
1972-01-21T00:50:06.870Z,47.5836667,-122.1976667,21.317,2.8,md,6,165,,0.14,uw,uw10852523,2016-07-24T23:52:42.230Z,"0 km SSE of Beaux Arts Village, Washington",earthquake,0.914,1.04,0.06,2,reviewed,uw,uw
1972-01-10T10:01:28.030Z,47.5851667,-122.2066667,19.557,2.6,md,5,165,0.04186,0.14,uw,uw10852443,2016-07-24T23:52:33.590Z,"0 km W of Beaux Arts Village, Washington",earthquake,0.045,0.06,0.07,3,reviewed,uw,uw
1972-01-01T09:49:49.770Z,47.5841667,-122.2068333,19.447,2.6,md,6,106,0.04103,0.09,uw,uw10839968,2016-07-24T23:52:30.470Z,"0 km WSW of Beaux Arts Village, Washington",earthquake,0.022,0.03,0.07,6,reviewed,uw,uw
1971-12-28T07:50:00.870Z,47.5748333,-122.2091667,20.623,4.1,md,8,95,,0.09,uw,uw10852348,2016-07-24T23:52:19.940Z,"1 km ENE of Mercer Island, Washington",earthquake,0.561,0.72,0.05,7,reviewed,uw,uw
1971-12-14T21:05:04.210Z,47.5756667,-122.221,19.707,2.6,md,5,161,0.02835,0.1,uw,uw10852233,2016-07-24T23:52:03.050Z,"0 km N of Mercer Island, Washington",earthquake,0.604,0.68,0.07,4,reviewed,uw,uw
1971-09-09T20:32:59.250Z,47.5688333,-122.2176667,19.874,3.5,md,7,160,,0.16,uw,uw10839693,2016-07-24T23:47:10.680Z,"0 km ESE of Mercer Island, Washington",earthquake,1.163,1.21,0.06,7,reviewed,uw,uw
1971-08-10T20:26:48.400Z,47.5826667,-122.2086667,19.374,3.1,md,7,164,,0.17,uw,uw10839458,2016-07-24T23:46:38.010Z,"0 km WSW of Beaux Arts Village, Washington",earthquake,0.067,0.06,0.05,7,reviewed,uw,uw
1971-06-26T22:02:15.080Z,47.5711667,-122.2155,20.511,3.3,md,6,191,,0.12,uw,uw10839243,2016-07-24T23:46:11.330Z,"0 km E of Mercer Island, Washington",earthquake,1.018,0.96,0.06,5,reviewed,uw,uw
1971-06-25T13:45:40.700Z,47.5675,-122.2246667,19.461,3,md,6,190,,0.15,uw,uw10839213,2016-07-24T23:46:05.870Z,"Puget Sound region, Washington",earthquake,0.064,0.06,0.06,6,reviewed,uw,uw
1971-06-24T02:26:53.530Z,47.5846667,-122.2048333,18.401,3.3,md,6,194,,0.19,uw,uw10839203,2016-07-24T23:46:03.550Z,"0 km W of Beaux Arts Village, Washington",earthquake,1.757,0.83,0.07,6,reviewed,uw,uw
1960-04-11T06:47:35.000Z,47.567,-122.25,,3.6,md,,,,,ushis,ushis2441,2018-06-04T20:43:45.000Z,"2 km W of Mercer Island, Washington",earthquake,,,,,reviewed,ushis,yel
1903-03-14T02:30:00.000Z,47.7,-122.2,,4.9,mfa,,,,,uw,uw19030314023000000,2024-05-02T21:13:57.953Z,"Near Kirkland, Washington",earthquake,,,,,reviewed,uw,uw
