Preliminary Risk Category,Neighborhood,Address,City,State,Zip Code,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,Long/Lat
Medium Risk,Univ Dist,4341 University Way NE,Seattle,WA,98105,1912,2,No visible retrofit,Commercial/Office,11-100,Photos from Previous Surveys,POINT (-122.31312 47.66102)
Medium Risk,Univ Dist,4508 University Way NE,Seattle,WA,98105,1925,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.3131 47.66162)
Medium Risk,Univ Dist,4509 University Way NE,Seattle,WA,98105,1916,3,Visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.3131 47.66165)
Medium Risk,Univ Dist,4515 University Way NE,Seattle,WA,98105,1928,3,Permitted Retrofit,Commercial/Office,101+,Photos from Previous Surveys,POINT (-122.3131 47.66181)
Medium Risk,Univ Dist,4520 University Way NE,Seattle,WA,98105,1950,3,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.31309 47.66205)
Medium Risk,Univ Dist,4525 University Way NE,Seattle,WA,98105,1914,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.31309 47.66207)
Medium Risk,Univ Dist,4534 University Way NE,Seattle,WA,98105,1927,2,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.31309 47.66234)
Medium Risk,Univ Dist,4544 University Way NE,Seattle,WA,98105,1924,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.31309 47.66261)
Medium Risk,Univ Dist,4733 University Way NE,Seattle,WA,98105,1909,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.31375 47.66402)
Medium Risk,Univ Dist,4736 University Way NE,Seattle,WA,98105,1929,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.31306 47.66422)
Medium Risk,Univ Dist,5649 University Way NE,Seattle,WA,98105,1925,1,No visible retrofit,Commercial,11-100,White Card Permit Records,POINT (-122.31305 47.67076)
High Risk,Univ Dist,4740 17th Ave NE,Seattle,WA,98105,1920,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.30915 47.66445)
Critical Risk,Univ Dist,4276 E Stevens Way NE,Seattle,WA,98195,1926,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.30878 47.65975)
Critical Risk,Univ Dist,2034 NE Skagit Ln,Seattle,WA,98195,1948,4,No visible retrofit,Schools,101+,University of Washington Facilities List,POINT (-122.30544 47.65735)
Medium Risk,Univ Dist,4516 University Way NE,Seattle,WA,98105,1925,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.3131 47.66187)
Critical Risk,Univ Dist,4324 Memorial Way NE,Seattle,WA,98195,1894,1,No visible retrofit,Schools,11-100,University of Washington Facilities List,POINT (-122.30918 47.66021)
Medium Risk,Univ Dist,3900 Jefferson Rd NE,Seattle,WA,98195,1938,2,Permitted Retrofit,Industrial,1-10,University of Washington Facilities List,POINT (-122.30407 47.65372)
Medium Risk,Univ Dist,3920 Jefferson Rd NE,Seattle,WA,98195,1929,2,No visible retrofit,Industrial,1-10,University of Washington Facilities List,POINT (-122.30404 47.65425)
Medium Risk,Univ Dist,4554 19th Ave NE,Seattle,WA,98105,1920,3,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.30721 47.6628)
Medium Risk,Univ Dist,4747 University Way NE,Seattle,WA,98105,1921,1,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps,POINT (-122.31341 47.66462)
Medium Risk,Univ Dist,4529 17th Ave NE,Seattle,WA,98105,1922,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.30974 47.66212)
Medium Risk,Univ Dist,4503 17th Ave NE,Seattle,WA,98105,1929,3,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.30975 47.66172)
Medium Risk,Univ Dist,4506 17th Ave NE,Seattle,WA,98105,1925,3,Visible retrofit,Residential,11-100,Google Street View,POINT (-122.30952 47.66151)
Medium Risk,Univ Dist,4549 18th Ave NE,Seattle,WA,98105,1926,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.30834 47.66278)
Medium Risk,Univ Dist,6300 Roosevelt Way NE,Seattle,WA,98115,1930,1,No visible retrofit,Commercial/Residential,11-100,Sandborn Insurance Maps,POINT (-122.31735 47.67429)
High Risk,Univ Dist,5009 Roosevelt Way NE,Seattle,WA,98105,1909,1,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.31808 47.66553)
Medium Risk,Univ Dist,5201 University Way NE,Seattle,WA,98105,1928,1,No visible retrofit,Commercial,101+,Sandborn Insurance Maps,POINT (-122.31345 47.66665)
Critical Risk,Wallingford,120 NE 54th St,Seattle,WA,98105,1913,3,Substantial Alteration,Schools,101+,Google Street View,POINT (-122.32661 47.66789)
Medium Risk,Wallingford,712 NE 45th St,Seattle,WA,98105,1934,1,No visible retrofit,Public Assembly,11-100,White Card Permit Records,POINT (-122.32001 47.66133)
Medium Risk,Wallingford,1307 N 46th St,Seattle,WA,98103,1924,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.34169 47.6621)
Medium Risk,Wallingford,1820 N 45th St,Seattle,WA,98103,1922,1,Visible retrofit,Commercial,11-100,Google Street View,POINT (-122.33549 47.66138)
Medium Risk,Wallingford,1912 N 45th St,Seattle,WA,98103,1923,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.33474 47.66138)
Medium Risk,Wallingford,1920 N 45th St,Seattle,WA,98103,1927,1,No visible retrofit,Commercial,101+,Photos from Previous Surveys,POINT (-122.33414 47.66138)
Medium Risk,Wallingford,4135 Stone Way N,Seattle,WA,98103,1912,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.34231 47.65774)
Medium Risk,Wallingford,4136 Meridian Ave N,Seattle,WA,98103,1924,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.3338 47.65767)
Critical Risk,Wallingford,4400 Interlake Ave N,Seattle,WA,98103,1906,3,Substantial Alteration,Schools,101+,Google Street View,POINT (-122.33962 47.65956)
Medium Risk,Wallingford,4401 Wallingford Ave N,Seattle,WA,98103,1924,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.33619 47.66047)
Medium Risk,Wallingford,4512 Stone Way N,Seattle,WA,98103,1900,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.3421 47.66196)
Critical Risk,Wallingford,4649 Sunnyside Ave N,Seattle,WA,98103,1906,5,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.33104 47.66405)
Medium Risk,Wallingford,4701 Roosevelt Way NE,Seattle,WA,98105,1927,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.31742 47.66331)
Critical Risk,Wallingford,4811 Wallingford Ave N,Seattle,WA,98103,1910,3,Permitted Retrofit,Schools,101+,Google Street View,POINT (-122.3364 47.6638)
High Risk,Wallingford,5050 8th Ave NE,Seattle,WA,98105,1910,2,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.31917 47.66668)
Medium Risk,Wallingford,1701 N 45th St,Seattle,WA,98103,1925,3,Permitted Retrofit,Commercial/Residential,11-100,Permit Drawing Review,POINT (-122.33695 47.66138)
Medium Risk,Wallingford,1723 N 45th St,Seattle,WA,98103,1926,2,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.33644 47.66138)
Medium Risk,Wallingford,2104 N 45th St,Seattle,WA,98103,1929,1,Substantial Alteration,Commercial,11-100,Google Street View,POINT (-122.33343 47.66175)
Medium Risk,Wallingford,809 NE 45th St,Seattle,WA,98105,1930,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.3194 47.66112)
High Risk,Wallingford,2115 N 45th St,Seattle,WA,98103,1920,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.333 47.66138)
Medium Risk,Wallingford,4411 Wallingford Ave N,Seattle,WA,98103,1938,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.33619 47.66067)
Medium Risk,West Seattle Junction/Genesee Hill,2701 California Ave SW,Seattle,WA,98116,1930,3,No visible retrofit,Other Mixed Uses,11-100,Field Visit,POINT (-122.38664 47.57916)
Critical Risk,West Seattle Junction/Genesee Hill,3000 California Ave SW,Seattle,WA,98116,1920,2,Substantial Alteration,Schools,101+,Field Visit,POINT (-122.38579 47.5765)
Critical Risk,West Seattle Junction/Genesee Hill,4142 42nd Ave SW,Seattle,WA,98116,1922,2,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.385 47.56576)
Medium Risk,West Seattle Junction/Genesee Hill,4210 SW Edmunds St,Seattle,WA,98116,1910,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.38579 47.55934)
Medium Risk,West Seattle Junction/Genesee Hill,4139 42nd Ave SW,Seattle,WA,98116,1927,3,Permitted Retrofit,Other Mixed Uses,1-10,Field Visit,POINT (-122.38597 47.56545)
High Risk,West Seattle Junction/Genesee Hill,4304 SW Dakota St,Seattle,WA,98116,1930,1,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.38704 47.56658)
Medium Risk,West Seattle Junction/Genesee Hill,4415 Fauntleroy Way SW,Seattle,WA,98126,1924,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.37766 47.5641)
Medium Risk,West Seattle Junction/Genesee Hill,4427 California Ave SW,Seattle,WA,98116,1920,1,No visible retrofit,Industrial,1-10,Photos from Previous Surveys,POINT (-122.38727 47.56377)
Medium Risk,West Seattle Junction/Genesee Hill,4480 Fauntleroy Way SW,Seattle,WA,98126,1946,1,Visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.37849 47.56346)
Medium Risk,West Seattle Junction/Genesee Hill,4528 California Ave SW,Seattle,WA,98116,1928,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.38681 47.56204)
Medium Risk,West Seattle Junction/Genesee Hill,4540 California Ave SW,Seattle,WA,98116,1929,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.38628 47.56187)
Medium Risk,West Seattle Junction/Genesee Hill,4554 California Ave SW,Seattle,WA,98116,1929,2,No visible retrofit,Commercial/Office,11-100,White Card Permit Records,POINT (-122.38681 47.56129)
Medium Risk,West Seattle Junction/Genesee Hill,4721 California Ave SW,Seattle,WA,98116,1924,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.38683 47.56044)
Medium Risk,West Seattle Junction/Genesee Hill,4508 California Ave SW,Seattle,WA,98116,1924,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.38681 47.56256)
Medium Risk,West Seattle Junction/Genesee Hill,4720 California Ave SW,Seattle,WA,98116,1932,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.38683 47.56041)
Medium Risk,West Seattle Junction/Genesee Hill,4400 California Ave SW,Seattle,WA,98116,1910,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.38679 47.56457)
Medium Risk,West Seattle Junction/Genesee Hill,4410 California Ave SW,Seattle,WA,98116,1910,1,No visible retrofit,Commercial,1-10,Permit Drawing Review,POINT (-122.38652 47.56443)
Medium Risk,West Seattle Junction/Genesee Hill,4535 California Ave SW,Seattle,WA,98116,1924,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.38681 47.5619)
Medium Risk,West Seattle Junction/Genesee Hill,3401 California Ave SW,Seattle,WA,98116,1934,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.38675 47.57364)
Medium Risk,West Seattle Junction/Genesee Hill,3225 California Ave SW,Seattle,WA,98116,1922,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.38676 47.57481)
Critical Risk,Whittier Heights,1810 NW 65th St,Seattle,WA,98117,1930,3,Permitted Retrofit,Schools,101+,Google Street View,POINT (-122.38051 47.67599)
Medium Risk,Whittier Heights,7013 15th Ave NW,Seattle,WA,98117,1935,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.37707 47.67977)
Medium Risk,Whittier Heights,6757 8th Ave NW,Seattle,WA,98117,1950,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.36608 47.67941)
Critical Risk,Whittier Heights,6510 23rd Ave NW,Seattle,WA,98117,1929,3,Permitted Retrofit,Schools,101+,Google Street View,POINT (-122.38538 47.67642)
High Risk,Whittier Heights,2006 NW 65th St,Seattle,WA,98117,1928,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.38237 47.67598)
Medium Risk,Whittier Heights,7000 15th Ave NW,Seattle,WA,98117,1927,1,No visible retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.37678 47.67977)
Medium Risk,Whittier Heights,1138 NW 63rd St,Seattle,WA,98107,1942,2,No visible retrofit,Industrial,1-10,Google Street View,POINT (-122.37316 47.67456)
